"Timestamp","Are you expecting to vote in the upcoming presidential election?","if your answer is no. please state why?","According to you opinion who should be the next president?","What is the first and foremost issue he should solve immediately after becoming the president?","This election has the highest number of candidates. What is your opinion?","If you are not neutral please state why?","Are you planning to change the party you voted for the last presidential election?","what is your age?","What is your gender ?","what is your religion ?","What is your education level?","What is your  current occupation? ","District","Election region"
"2019/10/28 9:51:30 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Ethnic issues","Problematic","","Yes","30-45","Male","Buddhist","degree (Bsc,Msc, Phd)","Vet surgeon","Kandy","Udunuwara"
"2019/10/28 10:28:35 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","No","18-30","Female","Buddhist","up to A/L","","kandy","gampola"
"2019/10/28 10:33:41 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Corruption","Problematic","","No","18-30","Female","Buddhist","up to A/L","","Kandy","Kandy "
"2019/10/28 10:41:19 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","No","45-60","Male","Buddhist","up to A/L","Contractor ","Kandy","Kandy"
"2019/10/28 10:42:30 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","No","above 60","Female","Buddhist","up to A/L","","Kandy","Kandy"
"2019/10/28 11:14:09 AM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Corruption","Problematic","","Yes","30-45","Female","Buddhist","degree (Bsc,Msc, Phd)","lecturer","kandy","kandy"
"2019/10/28 12:22:52 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","","Neutral","","Yes","30-45","Female","Buddhist","degree (Bsc,Msc, Phd)","Lecturer","Kandy","Kandy"
"2019/10/28 3:53:30 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","Yes","30-45","Male","Buddhist","degree (Bsc,Msc, Phd)","","",""
"2019/10/28 5:09:07 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","Yes","45-60","Male","Buddhist","degree (Bsc,Msc, Phd)","University Teacher","Colombo","Kesbewa"
"2019/10/28 5:38:39 PM GMT+5:30","no","","Mr Gotabaya Rajapaksha","Religious conflicts","Problematic","Too many idiotic voices","Yes","30-45","Male","Buddhist","degree (Bsc,Msc, Phd)","Mo","Kandy","Kandy "
"2019/10/28 6:03:35 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","Yes","above 60","Male","Buddhist","up to A/L","Medical practitioner","Kandy","Udunuwara"
"2019/10/28 6:08:22 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","No","above 60","Female","Buddhist","up to O/L","Pentioner","Kandy","Udunuwara"
"2019/10/28 6:14:49 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","Yes","30-45","Female","Buddhist","degree (Bsc,Msc, Phd)","Medical practitioner M B B S","Kandy","Kandy"
"2019/10/28 7:09:42 PM GMT+5:30","no","Due to a foreign travel","Mr Gotabaya Rajapaksha","Ethnic issues","Problematic","It isa waste of money","Yes","30-45","Female","Buddhist","degree (Bsc,Msc, Phd)","Lecturer","Rathnapura","Kandy"
"2019/10/28 9:35:48 PM GMT+5:30","yes","","Mr Gotabaya Rajapaksha","Economical development","Problematic","","No","30-45","Male","Buddhist","degree (Bsc,Msc, Phd)","Academic ","Kandy","Teldeniya"
